year,programa,subprograma,proyecto,actividad,grupo,subgrupo,renglon,departamento,municipio,fuenteag,ejecucioncuanti,ejecucioncuali1,rengloncuali,ejecucioncuali
2014,3,03 00,03 00 000,03 00 000 005 000,0,10,11,1,101,10,99.99946389,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,10,11,16,1601,10,0,Muy baja,<=16.1818,baja
2014,3,03 00,03 00 000,03 00 000 005 000,0,10,13,1,101,10,100,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,10,14,1,101,10,99.99440591,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,10,15,1,101,10,99.99956215,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,10,15,16,1601,10,0,Muy baja,<=16.1818,baja
2014,3,03 00,03 00 000,03 00 000 005 000,0,20,22,1,101,10,99.99995479,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,20,22,7,701,10,100,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,20,22,13,1301,10,0,Muy baja,<=16.1818,baja
2014,3,03 00,03 00 000,03 00 000 005 000,0,20,22,16,1601,10,0,Muy baja,<=16.1818,baja
2014,3,03 00,03 00 000,03 00 000 005 000,0,20,25,1,101,10,100,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,20,25,7,701,10,99.94887526,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,20,26,1,101,10,99.3537488,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,20,27,1,101,10,99.82232534,Muy alta,>89.5550<=100,alta
2014,3,03 00,03 00 000,03 00 000 005 000,0,20,27,7,701,10,99.99899771,Muy alta,>89.5550<=100,alta
